app.cash.treehouse	treehouse-compose-android-debug	0.1.0		N/A
org.infrastructurebuilder	ibcore-root	0.11.0		N/A
org.infrastructurebuilder	ibcore-root	0.11.1		N/A
org.infrastructurebuilder	ibcore-root	0.11.2		N/A
org.infrastructurebuilder	ibcore-root	0.11.3		N/A
org.infrastructurebuilder	ibcore-root	0.11.4		N/A
org.infrastructurebuilder	ibcore-root	0.11.5		N/A
org.infrastructurebuilder	ibcore-root	0.12.0		N/A
org.infrastructurebuilder	ibcore-root	0.13.0		N/A
org.infrastructurebuilder	ibcore-root	0.14.0		N/A
org.infrastructurebuilder	ibcore-root	0.15.0		N/A
org.infrastructurebuilder	ibcore-root	0.15.1		N/A
org.infrastructurebuilder	ibcore-root	0.16.0		N/A
org.infrastructurebuilder	ibcore-root	0.17.0		N/A
org.infrastructurebuilder	ibcore-root	0.17.1		N/A
org.infrastructurebuilder	ibcore-root	0.17.2		N/A
org.infrastructurebuilder	ibcore-root	0.17.3		N/A
org.infrastructurebuilder	ibcore-root	0.20.0		N/A
org.infrastructurebuilder	ibcore-root	0.21.0		N/A
org.infrastructurebuilder	ibcore-root	0.21.1		N/A
org.infrastructurebuilder	ibcore-root	0.30.0		N/A
org.infrastructurebuilder	ibcore-root	0.9.0		N/A
org.infrastructurebuilder	ibcore-root	0.9.1		N/A
org.jitsi	libjitsi	1.1-0-g19f651af		d9ab8b9b1e6795d715ae981e448ca0bbff90515f
org.jitsi	libjitsi	1.1-1-g74886826		7bbf14f9f911741f598f6e3ab877543ec58dd4ab
org.jitsi	libjitsi	1.1-13-g09365583		6188641b4055c6cb4500fd7d90532f76a7e604f3
org.jitsi	libjitsi	1.1-14-gdf7fb78c		e3019b11f824f6fa8d3ab00138471d22a8e13c7d
org.jitsi	libjitsi	1.1-15-g2ed64310		39f99c0a9eef6eea0f35949a6cd9ba293e4faa10
org.jitsi	libjitsi	1.1-16-g6a8b9363		48f00eaf51f6d0a75330bba75f805df757756288
org.jitsi	libjitsi	1.1-17-g983122e8		ce0dfc6333fac9deb196f889dc39c0adb67de06e
org.jitsi	libjitsi	1.1-18-g77564dca		a518faa2f0112996820e6aaae9b78f3f8c52b82b
org.jitsi	libjitsi	1.1-19-g076c0474		7d41b98e17ebe9c0f70cdbdc7d33b77cd7bc0f9f
org.jitsi	libjitsi	1.1-21-gde8f41c4		f809eda980fbb2efc890f2954215081100196427
org.jitsi	libjitsi	1.1-22-g5c9346c5		6844589c2724e24374215d56c9ba1d8da0b1e9df
org.jitsi	libjitsi	1.1-23-g86401561		dbf842bd35cc961fbc81b7d8787176bbde0b6e3d
org.jitsi	libjitsi	1.1-26-g4e9c95d3		a6f7b3778e5e4a3ebc364e56e71a5724164d3720
org.jitsi	libjitsi	1.1-29-g00e62769		e9ce7465bc781c87f6b4999f776452bbff28c92b
org.jitsi	libjitsi	1.1-30-gb1b02a58		56ae4af205285d3c82a26cef40fe88199588e705
org.jitsi	libjitsi	1.1-31-g532ecd55		5e05e709dbaeb6b4367d35c6cf0e5aeaced452e3
org.jitsi	libjitsi	1.1-32-g2a5a8171		25a788f933bed43874baa232d8b9a6ce75da0036
org.jitsi	libjitsi	1.1-33-g1d3d357b		a00e172326ecda562dcbecc58d7c062b62137b82
org.jitsi	libjitsi	1.1-34-gb93ce2ee		d02313021cc740a4a48452811feacb17b4208804
org.jitsi	libjitsi	1.1-4-gfb6b03ff		a4a02a24f2159a2c40ab63c80e2be0f69f384304
org.jitsi	libjitsi	1.1-7-gbd220eef		08c883a91fe2087becac14bb19891ec1e41c996c
org.mvnpm	expand-reflinks	0.2.1		1ff3c3346de7ed12b2c413156736abdf4fdab262
org.mvnpm.at.fortawesome	fontawesome-common-types	6.4.2		6a6e6386848f080ca6dd9b9dd7425f65033d85d5
org.mvnpm.at.fortawesome	fontawesome-common-types	6.5.0		01c5d780714738007b415ff588b42981006a60b4
org.mvnpm.at.fortawesome	fontawesome-common-types	6.5.1		fb1754be426761d0c7a63f668c04a6db03df6155
org.mvnpm.at.fortawesome	fontawesome-common-types	6.5.2		0c50b0976461f49b7ac31e468550846b3ad8a442
org.mvnpm.at.fortawesome	fontawesome-common-types	6.6.0		086b5624c972acd875478cbbd2ba784fb8764102
org.mvnpm.at.fortawesome	fontawesome-common-types	6.7.0		f11ff39591b32de72d1355abb3e768ae7567e939
org.mvnpm.at.fortawesome	fontawesome-common-types	6.7.1		140c9422dd1178c12626572781bbfc4a04614714
org.mvnpm.at.fortawesome	fontawesome-common-types	6.7.2		b9a12423da24ca679dad7ca8eb86f92e0f3d6087
org.mvnpm.at.material	mwc-floating-label	0.27.0		c0227142adb53a2bcd1ba8a9bd8732728bf2ff14
org.objectweb.fractal.fscript	fscript-jade	2.0		8e9bd18fc51bf14440fe8315569f4c3a0efbc89b
org.objectweb.fractal.fscript	fscript-jade	2.1.0		33152421ff6d72665654c725df8affc9ac9d36b7
org.oolong-kt	oolong-linux	2.0.0		N/A
org.oolong-kt	oolong-linux	2.0.1		N/A
org.ow2.kerneos	kerneos-flex-archetypes	2.2.0		N/A
org.ow2.kerneos	kerneos-flex-archetypes	2.2.1		N/A
org.statefulj.framework	statefulj-framework-binders-springmvc	0.3		a236cdb84c9a3350c4896cc0445b3bada0969121
org.statefulj.framework	statefulj-framework-binders-springmvc	0.4		17f5fc8251547e530e2dc6ca842a93828a9de30f
org.statefulj.framework	statefulj-framework-binders-springmvc	0.5		417c8204ec9a6fba50e63e3078cbf0f02a8ba052
org.statefulj.framework	statefulj-framework-binders-springmvc	0.6		fbdd419e8d7189a3c97c929ef49c8490c5946afb
org.statefulj.framework	statefulj-framework-binders-springmvc	0.6.1		c080c1e5bce9904d5e5e8470f0bbda0a6f292c2e
org.statefulj.framework	statefulj-framework-binders-springmvc	0.6.2		41f2e6699140971a0c7e3338359362f6324867cf
org.statefulj.framework	statefulj-framework-binders-springmvc	0.6.3		c76295a1f75a42a3a14c8c7ab070e2fb36e1c767
org.statefulj.framework	statefulj-framework-binders-springmvc	0.7		e117e10ac7e423f8c747717283b97180e66f34fe
org.statefulj.framework	statefulj-framework-binders-springmvc	0.7.1		7c43ea4ed6bbc2b5213c86db71411b495c6cdeb7
org.statefulj.framework	statefulj-framework-binders-springmvc	0.8		65c9b422e996f5664b4b62a5c59ec5ce907aa7a3
org.statefulj.framework	statefulj-framework-binders-springmvc	0.8.1		1f9a436907ae9faf21ebff0ccb29eab09bb0f814
org.statefulj.framework	statefulj-framework-binders-springmvc	0.9		5136dd645d3998f593390b8835dacec44cc9e3cc
org.statefulj.framework	statefulj-framework-binders-springmvc	1.0		c8e6afa4e0c30a19708792e8539a3c9f205bd851
org.statefulj.framework	statefulj-framework-binders-springmvc	1.0.1		88baaefd216dc360df3c13643523aa10c83cd4af
org.statefulj.framework	statefulj-framework-binders-springmvc	1.0.10		f0d32490dc0b55943f90785e80dee0ef6d12a9b3
org.statefulj.framework	statefulj-framework-binders-springmvc	1.0.11		045aa92ff41794744f2364d2849d166741224ebf
org.statefulj.framework	statefulj-framework-binders-springmvc	1.0.12		af1c69a02df861a8906e468f5f7b5e93f421965f
org.statefulj.framework	statefulj-framework-binders-springmvc	1.0.2		bbddff9621f99da8091f2c17cacc032d3638e5a6
org.statefulj.framework	statefulj-framework-binders-springmvc	1.0.3		6cc4fa43a56d4c3e9dbf3b6c8b86f146d8b0ae05
org.statefulj.framework	statefulj-framework-binders-springmvc	1.0.4		7a746587208658b55126550e254de3a285cc8df3
org.statefulj.framework	statefulj-framework-binders-springmvc	1.0.5		50bd3777a0c3c17a967aca2a21aa762deb0149c6
org.statefulj.framework	statefulj-framework-binders-springmvc	1.0.5.1		8d53b7aa41092b5494b1ccd635fa08e6ddea8388
org.statefulj.framework	statefulj-framework-binders-springmvc	1.0.6		9da91b93836af65186f07dfe22c672b4305e390c
org.statefulj.framework	statefulj-framework-binders-springmvc	1.0.7		410ba8d70271313f2481da4a30fbd15045c8ec4c
org.statefulj.framework	statefulj-framework-binders-springmvc	1.0.8		eca2c00f0453a8e794856cb3927548f05bb509af
org.statefulj.framework	statefulj-framework-binders-springmvc	1.0.9		e243f5cf32d8998a7c0023da62c2556ae3879c0a
org.statefulj.framework	statefulj-framework-binders-springmvc	2.0		1ef44aa346557a87370bcc4ac37adf36eed01481
org.statefulj.framework	statefulj-framework-binders-springmvc	2.1		ecc439cb089561d62ada7bb829faabca3ad54351
org.statefulj.framework	statefulj-framework-binders-springmvc	3.0		b7df9607fc8523d135b379d28e63e055b50cd336
org.wso2.carbon.deployment	spring-services	4.10.0		N/A
org.wso2.carbon.deployment	spring-services	4.10.1		N/A
org.wso2.carbon.deployment	spring-services	4.10.2		N/A
org.wso2.carbon.deployment	spring-services	4.10.3		N/A
org.wso2.carbon.deployment	spring-services	4.10.4		N/A
org.wso2.carbon.deployment	spring-services	4.10.5		N/A
org.wso2.carbon.deployment	spring-services	4.10.6		N/A
org.wso2.carbon.deployment	spring-services	4.10.7		N/A
org.wso2.carbon.deployment	spring-services	4.10.8		N/A
org.wso2.carbon.deployment	spring-services	4.11.0		N/A
org.wso2.carbon.deployment	spring-services	4.11.1		N/A
org.wso2.carbon.deployment	spring-services	4.11.15		N/A
org.wso2.carbon.deployment	spring-services	4.11.16		N/A
org.wso2.carbon.deployment	spring-services	4.11.17		N/A
org.wso2.carbon.deployment	spring-services	4.11.2		N/A
org.wso2.carbon.deployment	spring-services	4.11.5		N/A
org.wso2.carbon.deployment	spring-services	4.11.6		N/A
org.wso2.carbon.deployment	spring-services	4.11.7		N/A
org.wso2.carbon.deployment	spring-services	4.12.0		N/A
org.wso2.carbon.deployment	spring-services	4.12.1		N/A
org.wso2.carbon.deployment	spring-services	4.12.10		N/A
org.wso2.carbon.deployment	spring-services	4.12.16		N/A
org.wso2.carbon.deployment	spring-services	4.12.17		N/A
org.wso2.carbon.deployment	spring-services	4.12.18		N/A
org.wso2.carbon.deployment	spring-services	4.12.2		N/A
org.wso2.carbon.deployment	spring-services	4.12.20		N/A
org.wso2.carbon.deployment	spring-services	4.12.21		N/A
org.wso2.carbon.deployment	spring-services	4.12.25		N/A
org.wso2.carbon.deployment	spring-services	4.12.28		N/A
org.wso2.carbon.deployment	spring-services	4.12.3		N/A
org.wso2.carbon.deployment	spring-services	4.12.31		N/A
org.wso2.carbon.deployment	spring-services	4.12.4		N/A
org.wso2.carbon.deployment	spring-services	4.12.5		N/A
org.wso2.carbon.deployment	spring-services	4.12.6		N/A
org.wso2.carbon.deployment	spring-services	4.12.7		N/A
org.wso2.carbon.deployment	spring-services	4.12.8		N/A
org.wso2.carbon.deployment	spring-services	4.12.9		N/A
org.wso2.carbon.deployment	spring-services	4.3.0		N/A
org.wso2.carbon.deployment	spring-services	4.3.1		N/A
org.wso2.carbon.deployment	spring-services	4.4.0		N/A
org.wso2.carbon.deployment	spring-services	4.4.1		N/A
org.wso2.carbon.deployment	spring-services	4.5.0		N/A
org.wso2.carbon.deployment	spring-services	4.5.1		N/A
org.wso2.carbon.deployment	spring-services	4.5.2		N/A
org.wso2.carbon.deployment	spring-services	4.5.3		N/A
org.wso2.carbon.deployment	spring-services	4.6.0		N/A
org.wso2.carbon.deployment	spring-services	4.6.0-alpha		N/A
org.wso2.carbon.deployment	spring-services	4.6.1		N/A
org.wso2.carbon.deployment	spring-services	4.6.2		N/A
org.wso2.carbon.deployment	spring-services	4.7.0		N/A
org.wso2.carbon.deployment	spring-services	4.7.1		N/A
org.wso2.carbon.deployment	spring-services	4.7.10		N/A
org.wso2.carbon.deployment	spring-services	4.7.11		N/A
org.wso2.carbon.deployment	spring-services	4.7.12		N/A
org.wso2.carbon.deployment	spring-services	4.7.13		N/A
org.wso2.carbon.deployment	spring-services	4.7.14		N/A
org.wso2.carbon.deployment	spring-services	4.7.15		N/A
org.wso2.carbon.deployment	spring-services	4.7.16		N/A
org.wso2.carbon.deployment	spring-services	4.7.17		N/A
org.wso2.carbon.deployment	spring-services	4.7.18		N/A
org.wso2.carbon.deployment	spring-services	4.7.19		N/A
org.wso2.carbon.deployment	spring-services	4.7.2		N/A
org.wso2.carbon.deployment	spring-services	4.7.20		N/A
org.wso2.carbon.deployment	spring-services	4.7.21		N/A
org.wso2.carbon.deployment	spring-services	4.7.22		N/A
org.wso2.carbon.deployment	spring-services	4.7.23		N/A
org.wso2.carbon.deployment	spring-services	4.7.3		N/A
org.wso2.carbon.deployment	spring-services	4.7.4		N/A
org.wso2.carbon.deployment	spring-services	4.7.5		N/A
org.wso2.carbon.deployment	spring-services	4.7.6		N/A
org.wso2.carbon.deployment	spring-services	4.7.7		N/A
org.wso2.carbon.deployment	spring-services	4.7.8		N/A
org.wso2.carbon.deployment	spring-services	4.7.9		N/A
org.wso2.carbon.deployment	spring-services	4.8.0		N/A
org.wso2.carbon.deployment	spring-services	4.8.1		N/A
org.wso2.carbon.deployment	spring-services	4.8.2		N/A
org.wso2.carbon.deployment	spring-services	4.8.3		N/A
org.wso2.carbon.deployment	spring-services	4.8.4		N/A
org.wso2.carbon.deployment	spring-services	4.8.5		N/A
org.wso2.carbon.deployment	spring-services	4.9.12		N/A
org.wso2.carbon.deployment	spring-services	4.9.16		N/A
org.wso2.carbon.deployment	spring-services	4.9.17		N/A
org.wso2.carbon.identity.organization.management.api	org.wso2.carbon.identity.rest.api.organization.selfservice.v1	1.0.29		7056cdc808cd404b058649e17d52ce82ac033fbb
pro.respawn.kmmutils	coroutines-mingwx64	1.0.2		N/A
pro.respawn.kmmutils	coroutines-mingwx64	1.1.0-alpha01		N/A
pro.respawn.kmmutils	coroutines-mingwx64	1.1.0-alpha02		N/A
pro.respawn.kmmutils	coroutines-mingwx64	1.1.2		N/A
pro.respawn.kmmutils	coroutines-mingwx64	1.2.0		N/A
pro.respawn.kmmutils	coroutines-mingwx64	1.3.0		N/A
pro.respawn.kmmutils	coroutines-mingwx64	1.3.1		N/A
pro.respawn.kmmutils	coroutines-mingwx64	1.3.2		N/A
pro.respawn.kmmutils	coroutines-mingwx64	1.4.0		N/A
pro.respawn.kmmutils	coroutines-mingwx64	1.4.1		N/A
pro.respawn.kmmutils	coroutines-mingwx64	1.4.2		N/A
pro.respawn.kmmutils	coroutines-mingwx64	1.4.3		N/A
pro.respawn.kmmutils	coroutines-mingwx64	1.4.4		N/A
pro.respawn.kmmutils	coroutines-mingwx64	1.5.0		N/A
ru.tinkoff	typed-schema-swagger-ui_2.13	0.11.0		0116166ebf91ea6a7890bea015926efb573d4c51
ru.tinkoff	typed-schema-swagger-ui_2.13	0.11.0-RC1		530e683bd91e4be025b03b8f15f4c1747df64ce2
ru.tinkoff	typed-schema-swagger-ui_2.13	0.11.0-RC2		51ad6befd79879fb70334be682e747430c7646f4
ru.tinkoff	typed-schema-swagger-ui_2.13	0.11.1		5ce0a9b43b94446170c3626f7282be5b62a5bb2f
ru.tinkoff	typed-schema-swagger-ui_2.13	0.11.2		769f189c539f211c5f7fa46923f0244cfdb91411
ru.tinkoff	typed-schema-swagger-ui_2.13	0.11.3		7f262240aa2986f99533b52e9f6c613c9c1c16b0
ru.tinkoff	typed-schema-swagger-ui_2.13	0.11.5		fcfc84500064c04634bf4ee5312ca85f8ac0fa71
ru.tinkoff	typed-schema-swagger-ui_2.13	0.11.6		8b71646a787e29f0c6c2ac8606e9870b881f6c58
ru.tinkoff	typed-schema-swagger-ui_2.13	0.11.7		e0b20a4606690df99f17870f8480559b7e1dc1c6
ru.tinkoff	typed-schema-swagger-ui_2.13	0.11.8		0dcc6eb27bdd2f80232f23fe932283925acb8364
ru.tinkoff	typed-schema-swagger-ui_2.13	0.12.0		165e32342bc39a25a4cb476c6067ed7dd0cd0750
ru.tinkoff	typed-schema-swagger-ui_2.13	0.12.1		27af7e264970ba26d6b601e09b37359086749bd4
ru.tinkoff	typed-schema-swagger-ui_2.13	0.12.2		c8a6d13bde0e7b39151a762c594ce1be2d5d825e
ru.tinkoff	typed-schema-swagger-ui_2.13	0.12.3		ba4c83a73e77a4725f067724ff2ef214ff1f06e5
ru.tinkoff	typed-schema-swagger-ui_2.13	0.12.4		3b76b46b02363a9edd6dfe71f82aceaf80da93d8
ru.tinkoff	typed-schema-swagger-ui_2.13	0.12.5		42e048d22293f676bd0f2515af7e3d38aff5f5a6
ru.tinkoff	typed-schema-swagger-ui_2.13	0.12.5.1		76447686feafeaecfc7f2d49166606027505c1aa
ru.tinkoff	typed-schema-swagger-ui_2.13	0.12.6		2491f9dbd435f43a84e285519a21e2229f82a00b
ru.tinkoff	typed-schema-swagger-ui_2.13	0.12.7		2ff09fb461af8b36f7c58c14878020ae05258c2e
ru.tinkoff	typed-schema-swagger-ui_2.13	0.13.0		e5e9c8d288f72fd4c5ace38c4504913bdafbc1a5
ru.tinkoff	typed-schema-swagger-ui_2.13	0.13.1		ca8a3b15b5f66b28ac73c1ce6942037622a1245f
ru.tinkoff	typed-schema-swagger-ui_2.13	0.14.0		6d6ccc287c4cd90553eab636b82dce80dd2d241f
ru.tinkoff	typed-schema-swagger-ui_2.13	0.14.1		e1955d8a198c5b44ec66fc04e7cbf7ee225eae83
ru.tinkoff	typed-schema-swagger-ui_2.13	0.14.2		0aed1d3dc5d62c25e205764614e47809e04704ea
ru.tinkoff	typed-schema-swagger-ui_2.13	0.14.3		251be9c83fe56f62e1318be89820364f018152fd
ru.tinkoff	typed-schema-swagger-ui_2.13	0.15.0		58e1ff31ddb7233f51135efdf1da4661f0ff6ad2
ru.tinkoff	typed-schema-swagger-ui_2.13	0.15.1		5e17ba5637f3bd6e869101902368d33fd552c54a
ru.tinkoff	typed-schema-swagger-ui_2.13	0.15.2		dfe48ae92edc376b96ff66e99bc47d3dd845384e
software.amazon.awssdk	sqs	2.0.0-preview-1		eb159d95fe9947e641fefdb372ecd363772f55f7
software.amazon.awssdk	sqs	2.0.0-preview-10		c7e868cb2f3b46fb23ef44c3cddadd82d3936ad1
software.amazon.awssdk	sqs	2.0.0-preview-11		eeef610817e283a9db536d4c3ac08a3c368f0546
software.amazon.awssdk	sqs	2.0.0-preview-12		f32e59a89bba059fe4b80ecbb18e05afc5337b51
software.amazon.awssdk	sqs	2.0.0-preview-13		f4372235f32c00f7202356bfb01fdd0863321f41
software.amazon.awssdk	sqs	2.0.0-preview-2		66a5969a82c6c2865cd9542dfbdacb440f46a2a6
software.amazon.awssdk	sqs	2.0.0-preview-3		33924d831f013ae08d6982600d01f3af7bd5ad98
software.amazon.awssdk	sqs	2.0.0-preview-4		b83af0c54a255cd4db0049e45afcb0aff7d90c9a
software.amazon.awssdk	sqs	2.0.0-preview-5		52ba79ac6dd46050499d9688357b664a1689b093
software.amazon.awssdk	sqs	2.0.0-preview-6		6e588f4da82df9cda77f1683ba552d4ca638d6e2
software.amazon.awssdk	sqs	2.0.0-preview-7		59a2f88411a2f1161f05b13537b34bee22dc79d7
software.amazon.awssdk	sqs	2.0.0-preview-8		d9f5111bebe2c3f8440c16ff1f3e877e0c6b985e
software.amazon.awssdk	sqs	2.0.0-preview-9		cd03d834dd87000aa4862f04f9c4b8b8ef70ebc4
software.amazon.awssdk	sqs	2.1.0		623902630528f416669cba83560a7a1059f77157
software.amazon.awssdk	sqs	2.1.1		5884055af0589e596992e55460ab6fceeef2fb19
software.amazon.awssdk	sqs	2.1.2		429d6b9a630af3116e01cc28ffc82b1af4ec1f88
software.amazon.awssdk	sqs	2.1.3		700349db661ad58df0016d9915fcf6f2dc06e401
software.amazon.awssdk	sqs	2.1.4		977f63eba95aa8dccbbf31247ffec6ca9323da75
software.amazon.awssdk	sqs	2.10.0		3efc6379ad4da218bd7076b33f1a9a09bff99fa1
software.amazon.awssdk	sqs	2.10.1		105d0d691af53aebf0766fe48af6a45212e88745
software.amazon.awssdk	sqs	2.10.10		515bf30a0a2e2a3a3bddd9c44a459ec9dbe02fcc
software.amazon.awssdk	sqs	2.10.11		1165fef41320365176cbe553461e807fc8992938
software.amazon.awssdk	sqs	2.10.12		b920b2d0139552167c250566a8a599da5d91b317
software.amazon.awssdk	sqs	2.10.13		159cb6fe18ba46e96d6d508e979f8a1dd61121e8
software.amazon.awssdk	sqs	2.10.14		574cc431529c07db7e868027597c89d4d3cfee06
software.amazon.awssdk	sqs	2.10.15		60e806369b0b4ea4aa4bc79f64b8b6d696812ad5
software.amazon.awssdk	sqs	2.10.16		4734006fb64e7c59daf9426f49d1644fcd64960e
software.amazon.awssdk	sqs	2.10.17		fc64b0503a5c96c98e4842fcc668d686a1333791
software.amazon.awssdk	sqs	2.10.18		86f66e18e8d3f068f4e105c98adf114a2143577f
software.amazon.awssdk	sqs	2.10.19		0bc2795fba8e89133c76a347736bdaefafdafecd
software.amazon.awssdk	sqs	2.10.2		c9d051b062f7ae8868b7ca7b6e962b58bb3699f3
software.amazon.awssdk	sqs	2.10.20		be4b61045906b0c10d0f36232afd969212d3bf9b
software.amazon.awssdk	sqs	2.10.21		aab6205259d07f165373f0acd62aeb69c5852db9
software.amazon.awssdk	sqs	2.10.22		c2a9c3e200daf1783a0f5fb5b0191511e9a1228c
software.amazon.awssdk	sqs	2.10.23		6066cfcda8b08c3765d09fa047ef122da5174375
software.amazon.awssdk	sqs	2.10.24		9fa5a009e2c62728e099057fe029081de7c829c1
software.amazon.awssdk	sqs	2.10.25		79ea109d13486a7a42064d29fbd08785268dcb64
software.amazon.awssdk	sqs	2.10.26		e251bcf1f934f7544ba818b79f2774a4b8f4a3da
software.amazon.awssdk	sqs	2.10.27		575883c40dcb3af756c03e74fd77669c23ac0096
software.amazon.awssdk	sqs	2.10.28		bfdca9df4df9871df15850d047dc9abeac325969
software.amazon.awssdk	sqs	2.10.29		4c800cf94a3e7c7ce92a0750adeeb4fe75af09af
software.amazon.awssdk	sqs	2.10.3		5128796e09164fe1b1bec016514ee4ebba94645e
software.amazon.awssdk	sqs	2.10.30		43fafd4e1be42bdbb710f9aa1ac9f2518a62ebec
software.amazon.awssdk	sqs	2.10.31		e56e1e138b34498574cb2eae4cb2e9b0d9390758
software.amazon.awssdk	sqs	2.10.32		c890cc4cac35d8d84cde3d3ecac8b64e5428373b
software.amazon.awssdk	sqs	2.10.33		5d5caf3cb9060463a41675690cfbe1809f4ca218
software.amazon.awssdk	sqs	2.10.34		f648e96e6277193dd0b5d828d1bee2384d1daaa2
software.amazon.awssdk	sqs	2.10.35		0a3c0bfc25f9b3aa07cf0adc3f99e9361e92b4c7
software.amazon.awssdk	sqs	2.10.36		65a32c078526aa258ec7ae6c65acfb59b7c3bee0
software.amazon.awssdk	sqs	2.10.37		8f3ddcb345ed99b4396b7e698b14fdd35ff9a143
software.amazon.awssdk	sqs	2.10.38		a13ab0db68259d46857f15dfdc253f4e08db9706
software.amazon.awssdk	sqs	2.10.39		e43f5b66297014faf8b0d5c00052cf9e84922165
software.amazon.awssdk	sqs	2.10.4		28d569d6e56933d2f75e15292e6d4c5184eb8643
software.amazon.awssdk	sqs	2.10.40		cea0a1eec582ce2815071d753cb945ee10bbfe52
software.amazon.awssdk	sqs	2.10.41		c480540a50d8fed73658560df9fab15c42ba21f9
software.amazon.awssdk	sqs	2.10.42		b2b0777c4714816281a6a8709e05afc24b216cd4
software.amazon.awssdk	sqs	2.10.43		453cefb8353857be29b068c90a550651f3205546
software.amazon.awssdk	sqs	2.10.44		8916fbdd94e111a464971b7b821dab6bf9920c39
software.amazon.awssdk	sqs	2.10.45		4c5da5922ddd9084c5fe6ebe9661b4649008dfc8
software.amazon.awssdk	sqs	2.10.46		4aca4cfaf962692b68006d525b18c2c3cb3128f2
software.amazon.awssdk	sqs	2.10.47		77e6e6de6601e0e3c8b9fff98f57a30b83d8f488
software.amazon.awssdk	sqs	2.10.48		d16f4c5c8ac42f95647bb4392563e019b1aa384b
software.amazon.awssdk	sqs	2.10.49		e129d61730fe2c636bb76c2a71631b38ca016872
software.amazon.awssdk	sqs	2.10.5		73bcb495aca3c7f4d02a1453d42546fa803cdc6f
software.amazon.awssdk	sqs	2.10.50		59d1c96069c09c48aa8b76d8161fa094a234d34e
software.amazon.awssdk	sqs	2.10.51		9b4614e000ca4de9e49e8461fa41dd941b161eef
software.amazon.awssdk	sqs	2.10.52		2df26bb89be77b425f38caea71a2786c24f6a6a4
software.amazon.awssdk	sqs	2.10.53		d38c4b773df4a340686e2d50b32614a3c92e6b3e
software.amazon.awssdk	sqs	2.10.54		b62deb628f7cd92fcde9311ce402f0eb7524f102
software.amazon.awssdk	sqs	2.10.55		64c7131079dc10ced5d573c7a82cd345e483d70e
software.amazon.awssdk	sqs	2.10.56		7401f55829e4dd26ee3ad14fe2a2ab0106ae32a7
software.amazon.awssdk	sqs	2.10.57		8648b1c657c76f764a408cec5a0ca8333e6c7077
software.amazon.awssdk	sqs	2.10.58		990516ccd03920d8594f01c2bc28b3045df07710
software.amazon.awssdk	sqs	2.10.59		b75950f4d2e95fe228d19122c12d78c8f7d4bcf5
software.amazon.awssdk	sqs	2.10.6		e0139da5ea5aadbd3669675d66f18d495affc9b8
software.amazon.awssdk	sqs	2.10.60		2f614816d0d1ea728e7ab64e65375f498ad53283
software.amazon.awssdk	sqs	2.10.61		ea690a7c0fa3229824961822b51b3419fbf07fdc
software.amazon.awssdk	sqs	2.10.62		06b542b596fa9d233605b06b84cbf618b8cee7c9
software.amazon.awssdk	sqs	2.10.63		bf694880d5020dd9e0d38a0288db080c085c6be1
software.amazon.awssdk	sqs	2.10.64		1111f65700ebd91389386c8b69295ffb981d5a1a
software.amazon.awssdk	sqs	2.10.65		d2a70d19977731b3bd4ecc28e33ef3b01511bf6e
software.amazon.awssdk	sqs	2.10.66		f590addb67a168da2d9970ea8782d655fa73bfc0
software.amazon.awssdk	sqs	2.10.67		fb01f57e96b8715bc5492ef45cb30b00f9c9f67c
software.amazon.awssdk	sqs	2.10.68		c6a95b91d8d5c745a37170ba5d7274610fd972a1
software.amazon.awssdk	sqs	2.10.69		596ad8efc57be50700782e4ffd09534848260a0e
software.amazon.awssdk	sqs	2.10.7		738a3453100dc58a51234e6b768bd37b9b8e21d8
software.amazon.awssdk	sqs	2.10.70		e48cf124e19e0270c641f1bcc1c90a67d1c4b01b
software.amazon.awssdk	sqs	2.10.71		a2292b0094b396d02e99d0bfa334e9b928231829
software.amazon.awssdk	sqs	2.10.72		108caa412394caec2278751778245d8ffbd0c38a
software.amazon.awssdk	sqs	2.10.73		786422345609446147d07d2ef05142cbc8d7a1ea
software.amazon.awssdk	sqs	2.10.74		074ee984e66d97b76636feb2b56eb5e7ac12c409
software.amazon.awssdk	sqs	2.10.75		dac2f20c19ff7e061741054d82f317e917460380
software.amazon.awssdk	sqs	2.10.76		25100086d8c60280199df5db5fba010b34c6eb18
software.amazon.awssdk	sqs	2.10.77		fbc6ef79ae54d3c10a80f37a2c8d8e92dc094196
software.amazon.awssdk	sqs	2.10.78		8e1a8c1d11fae326c8e34c4f58946087c1eb7ffb
software.amazon.awssdk	sqs	2.10.79		abbb13989c240a5a90d022456f3f7912d0d1c314
software.amazon.awssdk	sqs	2.10.8		89dcf5ec21797119920e80f29ad167c05991a773
software.amazon.awssdk	sqs	2.10.80		556493155a2daf7c43c242ae8faf8fb200ec038d
software.amazon.awssdk	sqs	2.10.81		91867c2899d8e3cebc6aa6221cf3ea7f554570a7
software.amazon.awssdk	sqs	2.10.82		7134dd1693850ad7bc96f44af40fab3cfba8ebd1
software.amazon.awssdk	sqs	2.10.83		96f7bea79a9acb1b433a2e1f545a8442efb81fb8
software.amazon.awssdk	sqs	2.10.84		95157e70b60cbd117c8cf9a6e60e8c1d39a3c296
software.amazon.awssdk	sqs	2.10.85		276077ada2e77c8cf3a8430e0f03a0eb6135b665
software.amazon.awssdk	sqs	2.10.86		395956b473cff8b39e5402278fee64cfa643b791
